=HYPERLINK("https://www.youtube.com/watch?v=rGFG56tqrB0", "[Private video]")
=HYPERLINK("https://www.youtube.com/watch?v=4pREUr_RXEI", "EP538 「自己總是讓對方 #暈船 」不是你的錯！試著改變互動策略，化解異性交友的友情困境｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=WM3cozRdarA", "EP537 Bryan與Bezos已達成共識！為什麼我們都不喜歡用 #PowerPoint 來進行內部會議？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ApYapcZES9M", "EP536 採取 #行動 ，答案才會浮現！有些「#時間 」是你必須要浪費的｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=OjRk_UJojM0", "SP 一堂課能抵上班族一個月的薪水？#企業講師 這一行的真相與迷思！｜企業講師 李君婷 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=RUstGcF-lb4", "EP535 晉升 #主管 的終極條件是什麼？除了優秀的工作表現，更重要的是承擔「#絕對責任 」的態度！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=BCYYolr6D7Q", "EP534 主管到底是想幫忙還是想扯後腿？你得先有判斷的 #大局觀｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=c4fJzGr0RJA", "EP533 根據調查，「公開演講」竟然比死還要可怕！Bryan與你分享「內心 #緊張 、外表鬆弛」的小秘招！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=m_FCr4j-ODs", "EP532 自由工作≠無限自由！創業接案必須有「#減法思維 」，你才能不瞎忙真正賺到錢｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=RHCr9glXdXI", "EP531 #失敗 並「不是」成功之母，「#微小成功 」才是成功之母！你的挫敗可能不是玻璃心或沒毅力，而是一開始就選錯了賽道！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=WMGhPIRlgbM", "EP530 遇到 #職場霸凌 ，選擇 #離職 並不可恥！千萬別放棄思考「換個環境」｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=-_bnkU0Sa5g", "EP529 古老智慧的當代實戰！小角色如何說服大人物？善用 #鬼谷子 的謀略以小搏大，幫你 #看懂局 又創造籌碼｜華人圈談判權威教授 劉必榮 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=YOI4rDrsWoI", "EP528 如何知道自己是喜歡對方的？一定要 #心動 的感覺才能談戀愛嗎？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=e9ufqMdLHN8", "EP527 在學校裡是「#作弊 」，在職場裡是「#互利 」的五種行為！考驗你對「局」的認知能力！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ueP-r4wgmKI", "EP526 #劣勢開局 的人生該怎麼辦？（下）年輕最大的坑，常在於太急著「#彎道超車 」...｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Mv4gRh6frvI", "EP525 不再只是跟風使用，而是讓 #AI 真正替你工作！讓AI「#自動化」你的日常工作，每天解放30%瑣事時間！｜Aiworks共同創辦人 Jamie 林之晨 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=RouAa3w6LYA", "EP524 劣勢開局的人生該怎麼辦？（上）以#即時戰略遊戲 來談#家裡無礦 的年輕人開局與避坑策略｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=JSFxkuuqbeg", "EP523 求職不能只看薪資福利，更該選擇有「#格調」的公司，因為你值得更好的對待！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=7DgXY5coXro", "EP522 #向上管理 時該避開的雷，給老闆建議時該怎麼拿捏分寸？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=DDwS3IYX4sI", "EP521 邏輯清晰的人比較不容易焦慮？區分「事實」與「觀點」，八成的 #情緒內耗 都能迎刃而解！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=aUtWWMDxvBg", "EP520 想要推動制度，為何下屬總是提不起勁？#說服 的關鍵不在溝通而在於如何 #交換！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=WeWZXMxo4uU", "EP519 所有自雇者、創業者、斜槓者、接案者都該理解的 #法律 知識｜詠言法律事務所所長 賴瑩真律師 @LawyerAngela 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=-uyjjPXCMc0", "EP518 大人學新書想告訴你的事！在職場上，「#做事」才是「#做人」的底氣嗎？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=kFsvr921JFU", "EP517 語言能力同等於思考能力？！訓練自己的「#語言模型」，或許是提升思考與智力的一條捷徑！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=3LwfHqdd9ko", "EP516 當個有 #策略 的人生玩家！玩遊戲「直球對決」不是唯一解，得先弄清楚自己到底要什麼？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ZLdUN8a4XtA", "EP515 有人願意花時間來省錢，也有人寧願 #花錢 把 #時間「買」回來。你的一小時值多少錢？用多少錢買回時間才划算？讓我們一起來算算！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=qCkxkpx2jeo", "EP514 「想賺被動收入，我該去做直銷嗎？」一個你沒有優勢的賽道，其實是你不該選的賽道｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=TeZPDD22M5M", "EP513 從《黑白大廚》的競賽中，我看到競爭與道德間的灰色地帶：崔主廚是厚顏無恥還是決策果斷，你怎麼看？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=tzctX3Vyi90", "EP512 搞不清楚自己要甚麼？我該怎麼才能釐清「想要」，並做出人生 #選擇？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=9OC0iAq1M8k", "EP511 人人都想擁有好口才，但能讀懂人與人的「#關係」，才是一流溝通的底層邏輯！｜澄意文創 周震宇&馬可欣 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=nBqDLHH1Vvk", "EP510 不是業務，也要有「#業務思維」？想突破 #職場天花板，關鍵在看懂「錢、勢、人」！  ｜前外商總經理、新創公司營銷長 Yuki 黃昭瑛 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ZSOxNncNCsQ", "EP509 布萊恩的「#靈能挑戰」：聽完他親身經歷的兩段奇遇，或許你對「#算命」會有不同的觀點｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=OgKg1kDjws4", "EP508 與其等待 #緣分，不如主動出擊！追求愛情，為何我們不該「#被動」？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=plNWIRfu_hQ", "EP507 布萊恩的3個人生信仰：你相信什麼，就會擁有怎樣的人生｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=L4JVwlfxW9A", "EP506 活到40歲仍被爸媽的期待束縛？從練習「#拉開距離」開始，掌握人生的主導權｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=hZIIGCJiea4", "EP505 父母的話要聽，但要不要照做，還有做了之後的結果，都該由你自己負責！主動重塑與父母間的界限，才是真正獨立的開始！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=XlSSnCwgfKQ", "EP504 為何許多人 #安逸 得太早，又覺醒得太晚呢？提前 #設定目標，才不會讓你人生多走冤枉路｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=40pPuglT5IM", "EP503 想要年薪200萬？首選半導體，其次自媒體！你不用當全民網紅，只要找到和你共鳴的族人！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=mOiqvqqZ1Q4", "EP502 2024年從零開始做 #Podcast 是門好生意嗎？素人經營的3個重要條件｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=eIuz1Qgp7eY", "EP501 終於找到有 #熱情 的事業，卻發現自己好像不是這塊料。這時我該義無反顧、勇往直前，還是認清現實、打包撤退呢？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=6XwcfEVngpU", "EP500 你從沒失敗，因為你永遠在準備：「#過度準備」往往讓你的人生繞了遠路｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=I0GuiipSMEk", "EP499 強大的人不是沒有 #低潮，只是他們懂得如何渡過。分享幾個Bryan親身實踐過的克服低潮小妙招！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=LP6JOchM2qo", "EP498 公司高層突襲安插沒能力的「自己人」當我下屬，他在想什麼？Joe用經典日劇，教你如何看懂局！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=RgrJUXBkHbc", "EP497 你人生最快樂的時光在哪一年？時間不能倒轉，但或許你可以複製，並貼上到可見的未來！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=fcXnSl5Ufzs", "EP496 夢想是安穩度日？那你反而更需要有 #野心！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=kJBHa6gzZEk", "EP495 那些你認為天經地義的想法，都是為自己下的緊箍咒｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=5Pv03SHY46M", "EP494 我所有的後悔，都是因為當時「捨不得花錢」！人生價值的關鍵，到底是什麼？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=0WTWtBDpHlI", "EP493 天賦熱情Q&A：很想踏出 #舒適圈，卻又擔心會失敗，到底我該怎麼辦？立馬召喚「80歲的你」，問問他會怎麼看！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=lHHuCorh4ts", "EP492 晉升主管後卻感到「孤獨」？#新手主管 突破職場孤島，你可能忽略的關鍵能力｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=UnXzEbIhLPw", "EP491 股災是最好的投資試煉！分享關於資產、時間與注意力配置的5個原則｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=hukwwUWmek4", "EP490 「我現在待的，是一間好公司嗎？」想 #找好公司 之前，應該先思考的關鍵要素！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=mHN_GRZqx5w", "EP489 行銷除了創意，更需要邏輯與數據！產品能否熱銷，其實早就注定！｜外商資深品牌經理人 Vicky 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=FY3Xz6zVSpY", "EP488 用玩RPG的思維經營你的人生？！職場卡關不能錯過的3大攻略！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=OwPNK5zzAq0", "EP487 「就算遇到不喜歡的人，也能與之共處與合作」或許是 #成熟大人 與小孩的最大區別！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=H5veNTzdEOI", "EP485 「#說話」可能是職場裡最被低估的技能！掌握 #有效溝通 的關鍵3要素，提升你的職場影響力！｜資深廣播人、溝通表達講師 #王介安 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=LOYqmorLpPQ", "EP484 能力跟不上野心，該繼續冒險嗎？不了解自己的優勢，誰也無法給你人生的答案！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=CYit1ppLubs", "EP483 如何委婉地表達否定意見？與其直言不諱，不如先從「#部分認同」開始！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=qWLM1ZWguuQ", "EP482 一個好主管不用過度微管理，但要協助大家找到成就感！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=HSESkhOcz3c", "EP481 不斷改變，反而是最「安全」的選擇？創新，就是不斷地解決問題！｜口袋證券共同創辦人暨董事長 陶韻智 Sting 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Ro_yK6DSfvs", "EP480 不常看書的人，如何培養 #閱讀習慣 ？4個建議，讓你找到適合自己的路徑｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=7x6Yo-3HJr0", "EP479 聊聊尋找天賦與熱情過程中，繞不開的那個字：「#錢」！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=UwxoyYcHA0M", "EP478 另一半要「相似」還是「互補」？解答伴侶關係的完美狀態！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Twfsx080uJU", "EP477 從菜鳥記者到外商投信董座，卻自嘲是被金融業耽誤的文青？！找到「熱情支點」與「對的賽道」，是職涯路上最重要的事｜Alpha plus共同創辦人 石恬華Judy 專訪｜大人的SmallTalk")
=HYPERLINK("https://www.youtube.com/watch?v=44Jjm3SuJoA", "EP476 原來怪人竟是我自己？！盤點認識初期讓人退避三舍的5個 #話題地雷！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=POCvuHYTcBY", "EP475 你不快樂，因為你只想到你自己！最高等級的快樂，來自於「被需要」而不是「被羨慕」！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=OdwVa5VhN7g", "EP474 熱衷相親聯誼，反而建立「逆篩選」機制：人生沒有解決的問題，都將成為未來的課題｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=-opYpdoVymE", "EP473 職場就是一個「局」，借用賽局理論從識局、破局到造局，助你跳脫「#當局者迷」！｜企業培訓顧問 #劉奕酉 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ULXVKagrYDU", "EP472 相親聯誼，總遇到自我感覺良好的怪咖！到底是我太挑，還是對方有問題？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=X3l6EEQQejo", "EP471 #開箱大人學！#Joe 與 #Bryan的管理風格？大家都愛的員工福利？顧問的挑戰與該有的特質？外加最新招募情報！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=L4GB7KLtWrk", "EP470 打破職涯迷惘就是先做再說！馬克的職涯攻略｜歐馬克 @dearmarcy  專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=e9z5Xsmi3FU", "EP469 如何不自誇、不邀功，卻能讓老闆與客戶感受你的價值？介紹你幾個能巧妙「#刷存在感」的對話！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Buj0H2h0wlU", "數位遊牧誌 SP7：是夫妻，也是最棒的創業夥伴？在生活與工作之間找到甜蜜點，一同迎向財務自由的「慢活」心法｜慢活夫妻George & Dewi 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Vn2zvnj3llE", "EP467 當HR都在逛LinkedIn，你還在用人力銀行求職嗎？打通求職新管道：你不知道的LinkedIn經營小密技｜企業外語訓練師 陳湘陽 Sonny 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=cIUHve7BeYQ", "EP466 在一起很愉快，為何走不下去？是真的「#個性不合」，還是分開的藉口？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=8oX_zcBz_jY", "EP465 有熱情卻沒天分？我是真心喜歡，還是被教育的結果？回答關於 #天賦 與 #熱情 的大哉問！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=1kubPa2cdSY", "EP464 「談戀愛是跳舞，不是比武。」計較輸贏，當心陷入更深的有毒關係｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=iz1tQbeRT0o", "EP463 我的產品那麼好，為什麼大家都不買？看懂消費者的決策邏輯，才能找出品牌的優勢賽道｜品牌增長戰略顧問 汪志謙 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ZbUT_RkfJ_Q", "EP462 婚後的處境，仰賴於婚前的「看懂局」。兩家差異很大時，更要想想平衡的代價是什麼？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=rUzII87rojA", "EP461 布萊恩的紐約求生記：兩位主管一邊交戰，一邊逼你選邊站，只想好好上班的我們，該怎麼辦？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Vt9In5HtOWs", "EP460 天災來襲，你手中的餘裕足夠嗎？跟著Joe一起建構地震防災包！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=_wvWwFMCd_0", "EP459 為什麼我們會一次次栽進同一個坑？談職場、情場與投資的「#黑暗引力」法則！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=v30iKK1eHUQ", "EP458 「高薪但不喜歡」和「喜歡但低薪」該怎麼選？思考兩個問題，幫你做出不後悔的選擇｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Lje-_wc1eVk", "EP457 兩位 #美國 主管教我的事：難搞主管，卻是我職涯中最大的貴人！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=8lhEtYQE7kM", "EP456 專案經理的責任是「#看懂局」，然後引導公司做「有資格成功的事」｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=vQaAzLXO92c", "EP455 「恐懼感」往往比災難本身更折磨人心！從一段暖心的影片，讓我們發現破解「恐懼」的秘密！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=8BNuscnjM9M", "EP454 什麼是「#獨當一面」的專業工作者？學會這個思維，讓你在職場中脫穎而出！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=SzddJnINmpY", "EP453 沒靈感怎麼辦？掌握3個要點！讓你奇妙點子源源不絕｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=89u3Zwth5CQ", "EP452 不是大人就能「我都要」！有 #餘裕 才有選擇，有選擇人生才有 #平衡｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ffpm54nDBUg", "EP451 這幾個 #履歷 #CV 上的「優點」95%的求職者都愛寫！但其實在HR眼中，它們100%會暴露你的「弱點」！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=yXs_k5efhsA", "EP450 滿手好牌卻打到爛？餘裕不只是你有多少錢，而是人生決策的 #核心思維｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=60zIoqYP8Do", "EP449 人生最心酸的，不是找不到目標，而是達成目標後才發現，根本不是自己要的！4個思考，幫助你設定不後悔的目標！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=-pOthhmsKMw", "EP448 想看懂大局，從看懂老闆指派工作的思考脈絡開始｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=L5frBAmm7nQ", "EP447 上班族 #斜槓 接案報價攻略：為什麼你一定要收錢？如何找到心中的完美數字？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=qSsznS67sXg", "EP446 工作又不是談戀愛，與其小劇場爆棚還不如聚焦思考這個問題......｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=CZ3ILUEaCPo", "EP445 為何朋友都說我口才好，老闆卻總嫌我講話沒重點？用3個指標分析溝通問題，化解對話障礙｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=I-wp7r-ymJY", "EP444 承擔高風險，才能獲得高報酬？錯誤的因果關係，會害你做出錯誤的人生決策｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=qfBCVLbnfd4", "EP443 就算只想當上班族，這輩子也該嘗試一次獨立 #接案！3個我在「#單飛」裡學到的人生體驗！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=3Kr1XOHfIbE", "EP442 餘裕 x 增長 x 運氣：人生遊戲的常勝公式｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=9auAsTZlYkk", "EP441 職業大百科：開箱金融業MA計畫！儲備幹部充滿新鮮感的日常｜國泰世華環球交易服務部協理 劉昌豪＆客戶價值經營部副理 曹雅茵 專訪｜大人的Small Talk")
